HOME,AWAY,DATE,TIME (ET)
OTT,TOR,"Oct 12, 2016",7:00 PM
CHI,STL,"Oct 12, 2016",8:00 PM
EDM,CGY,"Oct 12, 2016",10:00 PM
SJS,LAK,"Oct 12, 2016",10:30 PM
BUF,MON,"Oct 13, 2016",7:00 PM
NYR,NYI,"Oct 13, 2016",7:00 PM
PIT,WSH,"Oct 13, 2016",7:00 PM
CBJ,BOS,"Oct 13, 2016",7:00 PM
TBL,DET,"Oct 13, 2016",7:30 PM
FLA,NJD,"Oct 13, 2016",7:30 PM
STL,MIN,"Oct 13, 2016",8:00 PM
WPG,CAR,"Oct 13, 2016",8:00 PM
DAL,ANH,"Oct 13, 2016",8:30 PM
NSH,CHI,"Oct 14, 2016",8:00 PM
CGY,EDM,"Oct 14, 2016",9:00 PM
LAK,PHI,"Oct 14, 2016",10:30 PM
TOR,BOS,"Oct 15, 2016",7:00 PM
OTT,MON,"Oct 15, 2016",7:00 PM
TBL,NJD,"Oct 15, 2016",7:00 PM
FLA,DET,"Oct 15, 2016",7:00 PM
PIT,ANH,"Oct 15, 2016",7:00 PM
WSH,NYI,"Oct 15, 2016",7:00 PM
CBJ,SJS,"Oct 15, 2016",7:00 PM
MIN,WPG,"Oct 15, 2016",7:00 PM
STL,NYR,"Oct 15, 2016",8:00 PM
CHI,NSH,"Oct 15, 2016",8:30 PM
COL,DAL,"Oct 15, 2016",9:00 PM
ARI,PHI,"Oct 15, 2016",9:00 PM
VAN,CGY,"Oct 15, 2016",10:00 PM
NYI,ANH,"Oct 16, 2016",6:00 PM
EDM,BUF,"Oct 16, 2016",7:00 PM
VAN,CAR,"Oct 16, 2016",10:00 PM
NYR,SJS,"Oct 17, 2016",7:00 PM
PIT,COL,"Oct 17, 2016",7:00 PM
DET,OTT,"Oct 17, 2016",7:30 PM
WPG,BOS,"Oct 17, 2016",8:00 PM
NJD,ANH,"Oct 18, 2016",7:00 PM
NYI,SJS,"Oct 18, 2016",7:00 PM
WSH,COL,"Oct 18, 2016",7:00 PM
MON,PIT,"Oct 18, 2016",7:30 PM
OTT,ARI,"Oct 18, 2016",7:30 PM
TBL,FLA,"Oct 18, 2016",7:30 PM
NSH,DAL,"Oct 18, 2016",8:00 PM
MIN,LAK,"Oct 18, 2016",8:00 PM
CHI,PHI,"Oct 18, 2016",8:30 PM
CGY,BUF,"Oct 18, 2016",9:00 PM
EDM,CAR,"Oct 18, 2016",9:00 PM
VAN,STL,"Oct 18, 2016",10:00 PM
NYR,DET,"Oct 19, 2016",8:00 PM
WPG,TOR,"Oct 19, 2016",8:00 PM
BOS,NJD,"Oct 20, 2016",7:00 PM
PHI,ANH,"Oct 20, 2016",7:00 PM
PIT,SJS,"Oct 20, 2016",7:00 PM
MON,ARI,"Oct 20, 2016",7:30 PM
