HOME,AWAY,DATE,TIME (CT)
STL,MIN,10/13/2016,7:00 PM
MIN,WPG,10/15/2016,6:00 PM
MIN,LAK,10/18/2016,7:00 PM
MIN,TOR,10/20/2016,7:00 PM
NJD,MIN,10/22/2016,6:00 PM
NYI,MIN,10/23/2016,5:00 PM
BOS,MIN,10/25/2016,6:00 PM
BUF,MIN,10/27/2016,6:00 PM
MIN,DAL,10/29/2016,7:00 PM
MIN,BUF,11/1/2016,7:00 PM
COL,MIN,11/5/2016,2:00 PM
PIT,MIN,11/10/2016,6:00 PM
PHI,MIN,11/12/2016,6:00 PM
OTT,MIN,11/13/2016,4:00 PM
MIN,CGY,11/15/2016,7:00 PM
MIN,BOS,11/17/2016,7:00 PM
MIN,COL,11/19/2016,7:00 PM
DAL,MIN,11/21/2016,7:30 PM
MIN,WPG,11/23/2016,6:00 PM
MIN,PIT,11/25/2016,3:00 PM
STL,MIN,11/26/2016,7:00 PM
VAN,MIN,11/29/2016,9:00 PM
CGY,MIN,12/2/2016,8:00 PM
EDM,MIN,12/4/2016,8:30 PM
TOR,MIN,12/7/2016,6:30 PM
MIN,EDM,12/9/2016,7:00 PM
MIN,STL,12/11/2016,5:00 PM
MIN,FLA,12/13/2016,7:00 PM
NSH,MIN,12/15/2016,7:00 PM
MIN,ARI,12/17/2016,1:00 PM
MIN,COL,12/20/2016,7:00 PM
MON,MIN,12/22/2016,6:30 PM
NYR,MIN,12/23/2016,6:00 PM
NSH,MIN,12/27/2016,7:00 PM
MIN,NYI,12/29/2016,7:00 PM
MIN,CBJ,12/31/2016,5:00 PM
SJS,MIN,1/5/2017,9:30 PM
LAK,MIN,1/7/2017,3:00 PM
ANH,MIN,1/8/2017,7:00 PM
MIN,MON,1/12/2017,7:00 PM
DAL,MIN,1/14/2017,8:00 PM
CHI,MIN,1/15/2017,6:00 PM
MIN,NJD,1/17/2017,7:00 PM
MIN,ARI,1/19/2017,7:00 PM
MIN,ANH,1/21/2017,8:00 PM
MIN,NSH,1/22/2017,7:00 PM
DAL,MIN,1/24/2017,7:30 PM
MIN,STL,1/26/2017,7:00 PM
EDM,MIN,1/31/2017,8:00 PM
CGY,MIN,2/1/2017,9:00 PM
VAN,MIN,2/4/2017,9:00 PM
WPG,MIN,2/7/2017,7:00 PM
MIN,CHI,2/8/2017,7:00 PM
MIN,TBL,2/10/2017,7:00 PM
MIN,DET,2/12/2017,2:00 PM
MIN,ANH,2/14/2017,7:00 PM
MIN,DAL,2/16/2017,7:00 PM
MIN,NSH,2/18/2017,7:00 PM
MIN,CHI,2/21/2017,7:00 PM
MIN,LAK,2/27/2017,7:00 PM
WPG,MIN,2/28/2017,7:00 PM
CBJ,MIN,3/2/2017,6:00 PM
MIN,SJS,3/5/2017,5:00 PM
MIN,STL,3/7/2017,7:00 PM
TBL,MIN,3/9/2017,6:30 PM
FLA,MIN,3/10/2017,6:30 PM
CHI,MIN,3/12/2017,6:00 PM
WSH,MIN,3/14/2017,6:00 PM
CAR,MIN,3/16/2017,6:00 PM
MIN,NYR,3/18/2017,6:00 PM
WPG,MIN,3/19/2017,4:00 PM
MIN,SJS,3/21/2017,7:00 PM
MIN,PHI,3/23/2017,7:00 PM
MIN,VAN,3/25/2017,1:00 PM
DET,MIN,3/26/2017,6:00 PM
MIN,WSH,3/28/2017,7:00 PM
MIN,OTT,3/30/2017,7:00 PM
NSH,MIN,4/1/2017,1:00 PM
MIN,COL,4/2/2017,5:00 PM
MIN,CAR,4/4/2017,7:00 PM
COL,MIN,4/6/2017,8:00 PM
ARI,MIN,4/8/2017,8:00 PM
