HOME,AWAY,DATE,TIME (ET)
FLA,NJD,10/13/2016,7:30 PM
TBL,NJD,10/15/2016,7:00 PM
NJD,ANH,10/18/2016,7:00 PM
BOS,NJD,10/20/2016,7:00 PM
NJD,MIN,10/22/2016,7:00 PM
NJD,ARI,10/25/2016,7:00 PM
NJD,CHI,10/28/2016,7:30 PM
NJD,TBL,10/29/2016,7:00 PM
FLA,NJD,11/3/2016,7:30 PM
TBL,NJD,11/5/2016,7:00 PM
CAR,NJD,11/6/2016,6:00 PM
NJD,CAR,11/8/2016,7:00 PM
BUF,NJD,11/11/2016,7:00 PM
NJD,BUF,11/12/2016,7:00 PM
DAL,NJD,11/15/2016,8:30 PM
ANH,NJD,11/17/2016,10:00 PM
LAK,NJD,11/19/2016,4:00 PM
SJS,NJD,11/21/2016,10:30 PM
NJD,TOR,11/23/2016,7:00 PM
NJD,DET,11/25/2016,7:30 PM
PIT,NJD,11/26/2016,7:00 PM
WPG,NJD,11/29/2016,8:00 PM
CHI,NJD,12/1/2016,8:30 PM
NSH,NJD,12/3/2016,2:00 PM
NJD,VAN,12/6/2016,7:00 PM
MON,NJD,12/8/2016,7:30 PM
NJD,STL,12/9/2016,7:30 PM
NYR,NJD,12/11/2016,7:00 PM
STL,NJD,12/15/2016,8:00 PM
OTT,NJD,12/17/2016,7:00 PM
NYR,NJD,12/18/2016,7:30 PM
NJD,NSH,12/20/2016,7:00 PM
NJD,PHI,12/22/2016,7:00 PM
PIT,NJD,12/23/2016,7:00 PM
NJD,PIT,12/27/2016,7:00 PM
WSH,NJD,12/29/2016,7:00 PM
NJD,WSH,12/31/2016,1:00 PM
NJD,BOS,1/2/2017,7:00 PM
CAR,NJD,1/3/2017,7:00 PM
NJD,TOR,1/6/2017,7:30 PM
NJD,EDM,1/7/2017,7:00 PM
NJD,FLA,1/9/2017,7:00 PM
EDM,NJD,1/12/2017,9:00 PM
CGY,NJD,1/13/2017,9:00 PM
VAN,NJD,1/15/2017,7:00 PM
MIN,NJD,1/17/2017,8:00 PM
NJD,MON,1/20/2017,7:30 PM
PHI,NJD,1/21/2017,7:00 PM
NJD,LAK,1/24/2017,7:00 PM
NJD,WSH,1/26/2017,7:00 PM
DET,NJD,1/31/2017,7:30 PM
NJD,CGY,2/3/2017,7:30 PM
CBJ,NJD,2/4/2017,7:00 PM
NJD,BUF,2/6/2017,7:00 PM
NJD,SJS,2/12/2017,0:30 PM
NJD,COL,2/14/2017,7:00 PM
NJD,OTT,2/16/2017,7:00 PM
NJD,NYI,2/18/2017,7:00 PM
NYI,NJD,2/19/2017,6:00 PM
NJD,OTT,2/21/2017,7:00 PM
NJD,NYR,2/25/2017,5:00 PM
NJD,MON,2/27/2017,7:00 PM
WSH,NJD,3/2/2017,7:00 PM
BOS,NJD,3/4/2017,7:00 PM
NJD,CBJ,3/5/2017,5:00 PM
CBJ,NJD,3/7/2017,7:00 PM
COL,NJD,3/9/2017,9:00 PM
ARI,NJD,3/11/2017,8:00 PM
NJD,WPG,3/14/2017,7:00 PM
NJD,PHI,3/16/2017,7:00 PM
PIT,NJD,3/17/2017,7:00 PM
NJD,CBJ,3/19/2017,1:00 PM
NJD,NYR,3/21/2017,7:00 PM
TOR,NJD,3/23/2017,7:30 PM
NJD,CAR,3/25/2017,7:00 PM
NJD,DAL,3/26/2017,5:00 PM
NYI,NJD,3/31/2017,7:30 PM
PHI,NJD,4/1/2017,7:00 PM
NJD,PHI,4/4/2017,7:00 PM
NJD,PIT,4/6/2017,7:00 PM
NJD,NYI,4/8/2017,6:00 PM
DET,NJD,4/9/2017,5:00 PM
