HOME,AWAY,DATE,TIME (CT)
NSH,CHI,10/14/2016,7:00 PM
CHI,NSH,10/15/2016,7:30 PM
NSH,DAL,10/18/2016,7:00 PM
DET,NSH,10/21/2016,6:30 PM
NSH,PIT,10/22/2016,7:00 PM
ANH,NSH,10/26/2016,9:30 PM
LAK,NSH,10/27/2016,9:30 PM
SJS,NSH,10/29/2016,9:30 PM
COL,NSH,11/1/2016,8:00 PM
ARI,NSH,11/3/2016,9:00 PM
NSH,CAR,11/5/2016,7:00 PM
NSH,OTT,11/8/2016,7:00 PM
NSH,STL,11/10/2016,7:00 PM
NSH,ANH,11/12/2016,7:00 PM
TOR,NSH,11/15/2016,6:30 PM
OTT,NSH,11/17/2016,6:30 PM
STL,NSH,11/19/2016,7:00 PM
NSH,TBL,11/21/2016,7:00 PM
NSH,DAL,11/23/2016,7:00 PM
NSH,WPG,11/25/2016,5:00 PM
WPG,NSH,11/27/2016,5:00 PM
COL,NSH,11/29/2016,8:00 PM
NSH,NJD,12/3/2016,1:00 PM
NSH,PHI,12/4/2016,5:00 PM
NSH,COL,12/6/2016,7:00 PM
DAL,NSH,12/8/2016,7:30 PM
ARI,NSH,12/10/2016,7:00 PM
NSH,STL,12/13/2016,7:00 PM
NSH,MIN,12/15/2016,7:00 PM
NSH,NYR,12/17/2016,7:00 PM
PHI,NSH,12/19/2016,6:00 PM
NJD,NSH,12/20/2016,6:00 PM
NSH,LAK,12/22/2016,7:00 PM
NSH,MIN,12/27/2016,7:00 PM
NSH,CHI,12/29/2016,7:00 PM
STL,NSH,12/30/2016,7:00 PM
NSH,MON,1/3/2017,7:00 PM
TBL,NSH,1/5/2017,6:30 PM
FLA,NSH,1/6/2017,6:30 PM
CHI,NSH,1/8/2017,6:00 PM
NSH,VAN,1/10/2017,7:00 PM
NSH,BOS,1/12/2017,7:00 PM
COL,NSH,1/14/2017,2:00 PM
VAN,NSH,1/17/2017,9:00 PM
CGY,NSH,1/19/2017,8:00 PM
EDM,NSH,1/20/2017,8:00 PM
MIN,NSH,1/22/2017,7:00 PM
NSH,BUF,1/24/2017,7:00 PM
NSH,CBJ,1/26/2017,7:00 PM
PIT,NSH,1/31/2017,6:00 PM
NSH,EDM,2/2/2017,7:00 PM
NSH,DET,2/4/2017,7:00 PM
NSH,VAN,2/7/2017,7:00 PM
NYR,NSH,2/9/2017,6:00 PM
NSH,FLA,2/11/2017,1:00 PM
NSH,DAL,2/12/2017,5:00 PM
MIN,NSH,2/18/2017,7:00 PM
CBJ,NSH,2/19/2017,5:00 PM
NSH,CGY,2/21/2017,7:00 PM
NSH,COL,2/23/2017,7:00 PM
NSH,WSH,2/25/2017,4:00 PM
NSH,EDM,2/26/2017,4:00 PM
BUF,NSH,2/28/2017,6:00 PM
MON,NSH,3/2/2017,6:30 PM
NSH,CHI,3/4/2017,7:00 PM
ANH,NSH,3/7/2017,9:00 PM
LAK,NSH,3/9/2017,9:30 PM
SJS,NSH,3/11/2017,3:00 PM
NSH,WPG,3/13/2017,7:00 PM
WSH,NSH,3/16/2017,6:00 PM
CAR,NSH,3/18/2017,6:00 PM
NSH,ARI,3/20/2017,7:00 PM
NSH,CGY,3/23/2017,7:00 PM
NSH,SJS,3/25/2017,7:00 PM
NYI,NSH,3/27/2017,6:00 PM
BOS,NSH,3/28/2017,6:00 PM
NSH,TOR,3/30/2017,7:00 PM
NSH,MIN,4/1/2017,1:00 PM
STL,NSH,4/2/2017,5:00 PM
NSH,NYI,4/4/2017,7:00 PM
DAL,NSH,4/6/2017,7:30 PM
WPG,NSH,4/8/2017,6:00 PM
