HOME,AWAY,DATE,TIME (ET)
PIT,WSH,10/13/2016,7:00 PM
PIT,ANH,10/15/2016,7:00 PM
PIT,COL,10/17/2016,7:00 PM
MON,PIT,10/18/2016,7:30 PM
PIT,SJS,10/20/2016,7:00 PM
NSH,PIT,10/22/2016,8:00 PM
PIT,FLA,10/25/2016,7:00 PM
PIT,NYI,10/27/2016,7:00 PM
PHI,PIT,10/29/2016,7:00 PM
ANH,PIT,11/2/2016,10:30 PM
LAK,PIT,11/3/2016,10:30 PM
SJS,PIT,11/5/2016,10:30 PM
PIT,EDM,11/8/2016,7:00 PM
PIT,MIN,11/10/2016,7:00 PM
PIT,TOR,11/12/2016,7:00 PM
WSH,PIT,11/16/2016,8:00 PM
NYI,PIT,11/18/2016,7:00 PM
BUF,PIT,11/19/2016,7:00 PM
PIT,NYR,11/21/2016,7:00 PM
NYR,PIT,11/23/2016,7:00 PM
MIN,PIT,11/25/2016,4:00 PM
PIT,NJD,11/26/2016,7:00 PM
NYI,PIT,11/30/2016,8:00 PM
PIT,DAL,12/1/2016,7:00 PM
PIT,DET,12/3/2016,7:00 PM
PIT,OTT,12/5/2016,7:00 PM
FLA,PIT,12/8/2016,7:30 PM
TBL,PIT,12/10/2016,7:00 PM
PIT,ARI,12/12/2016,7:00 PM
PIT,BOS,12/14/2016,7:30 PM
PIT,LAK,12/16/2016,7:00 PM
TOR,PIT,12/17/2016,7:00 PM
PIT,NYR,12/20/2016,7:00 PM
CBJ,PIT,12/22/2016,7:00 PM
PIT,NJD,12/23/2016,7:00 PM
NJD,PIT,12/27/2016,7:00 PM
PIT,CAR,12/28/2016,7:00 PM
PIT,MON,12/31/2016,7:00 PM
PIT,TBL,1/8/2017,1:00 PM
WSH,PIT,1/11/2017,8:00 PM
OTT,PIT,1/12/2017,7:30 PM
DET,PIT,1/14/2017,7:00 PM
PIT,WSH,1/16/2017,7:00 PM
MON,PIT,1/18/2017,7:30 PM
CAR,PIT,1/20/2017,7:00 PM
PIT,BOS,1/22/2017,0:30 PM
PIT,STL,1/24/2017,7:00 PM
BOS,PIT,1/26/2017,7:00 PM
PIT,NSH,1/31/2017,7:00 PM
PIT,CBJ,2/3/2017,7:00 PM
STL,PIT,2/4/2017,8:00 PM
PIT,CGY,2/7/2017,7:00 PM
COL,PIT,2/9/2017,9:00 PM
ARI,PIT,2/11/2017,8:00 PM
PIT,VAN,2/14/2017,7:00 PM
PIT,WPG,2/16/2017,7:00 PM
CBJ,PIT,2/17/2017,7:00 PM
PIT,DET,2/19/2017,3:00 PM
CAR,PIT,2/21/2017,7:00 PM
PIT,PHI,2/25/2017,8:00 PM
DAL,PIT,2/28/2017,8:30 PM
CHI,PIT,3/1/2017,8:00 PM
PIT,TBL,3/3/2017,7:00 PM
PIT,BUF,3/5/2017,5:00 PM
WPG,PIT,3/8/2017,8:00 PM
EDM,PIT,3/10/2017,9:00 PM
VAN,PIT,3/11/2017,10:00 PM
CGY,PIT,3/13/2017,9:00 PM
PHI,PIT,3/15/2017,7:30 PM
PIT,NJD,3/17/2017,7:00 PM
PIT,FLA,3/19/2017,1:00 PM
BUF,PIT,3/21/2017,7:00 PM
OTT,PIT,3/23/2017,7:30 PM
PIT,NYI,3/24/2017,7:00 PM
PIT,PHI,3/26/2017,0:30 PM
PIT,CHI,3/29/2017,8:00 PM
NYR,PIT,3/31/2017,7:00 PM
PIT,CAR,4/2/2017,5:00 PM
PIT,CBJ,4/4/2017,7:00 PM
NJD,PIT,4/6/2017,7:00 PM
TOR,PIT,4/8/2017,7:00 PM
NYR,PIT,4/9/2017,7:00 PM
