HOME,AWAY,DATE,TIME (CT)
CHI,STL,10/12/2016,7:00 PM
STL,MIN,10/13/2016,7:00 PM
STL,NYR,10/15/2016,7:00 PM
VAN,STL,10/18/2016,9:00 PM
EDM,STL,10/20/2016,8:00 PM
CGY,STL,10/22/2016,9:00 PM
STL,CGY,10/25/2016,7:00 PM
STL,DET,10/27/2016,7:00 PM
STL,LAK,10/29/2016,7:00 PM
NYR,STL,11/1/2016,6:00 PM
DAL,STL,11/3/2016,7:30 PM
STL,CBJ,11/5/2016,6:00 PM
STL,COL,11/6/2016,4:00 PM
STL,CHI,11/9/2016,7:00 PM
NSH,STL,11/10/2016,7:00 PM
CBJ,STL,11/12/2016,6:00 PM
STL,BUF,11/15/2016,7:00 PM
STL,SJS,11/17/2016,7:00 PM
STL,NSH,11/19/2016,7:00 PM
BOS,STL,11/22/2016,6:00 PM
WSH,STL,11/23/2016,6:00 PM
STL,MIN,11/26/2016,7:00 PM
STL,DAL,11/28/2016,7:00 PM
STL,TBL,12/1/2016,7:00 PM
STL,WPG,12/3/2016,6:00 PM
STL,MON,12/6/2016,7:00 PM
NYI,STL,12/8/2016,6:00 PM
NJD,STL,12/9/2016,6:30 PM
MIN,STL,12/11/2016,5:00 PM
NSH,STL,12/13/2016,7:00 PM
STL,NJD,12/15/2016,7:00 PM
STL,CHI,12/17/2016,7:00 PM
STL,EDM,12/19/2016,7:00 PM
DAL,STL,12/20/2016,7:30 PM
TBL,STL,12/22/2016,6:30 PM
STL,PHI,12/28/2016,7:00 PM
STL,NSH,12/30/2016,7:00 PM
STL,CHI,1/2/2017,0:00 PM
STL,CAR,1/5/2017,7:00 PM
STL,DAL,1/7/2017,7:00 PM
STL,BOS,1/10/2017,7:00 PM
LAK,STL,1/12/2017,9:30 PM
SJS,STL,1/14/2017,9:30 PM
ANH,STL,1/15/2017,8:00 PM
STL,OTT,1/17/2017,7:00 PM
STL,WSH,1/19/2017,7:00 PM
WPG,STL,1/21/2017,2:00 PM
PIT,STL,1/24/2017,6:00 PM
MIN,STL,1/26/2017,7:00 PM
STL,WPG,1/31/2017,7:00 PM
STL,TOR,2/2/2017,7:00 PM
STL,PIT,2/4/2017,7:00 PM
PHI,STL,2/6/2017,6:00 PM
OTT,STL,2/7/2017,6:30 PM
TOR,STL,2/9/2017,6:30 PM
MON,STL,2/11/2017,6:00 PM
DET,STL,2/15/2017,7:00 PM
STL,VAN,2/16/2017,7:00 PM
BUF,STL,2/18/2017,0:00 PM
STL,FLA,2/20/2017,7:00 PM
CHI,STL,2/26/2017,6:30 PM
STL,EDM,2/28/2017,7:00 PM
WPG,STL,3/3/2017,7:00 PM
COL,STL,3/5/2017,7:00 PM
MIN,STL,3/7/2017,7:00 PM
STL,ANH,3/10/2017,7:00 PM
STL,NYI,3/11/2017,7:00 PM
LAK,STL,3/13/2017,9:00 PM
ANH,STL,3/15/2017,9:00 PM
SJS,STL,3/16/2017,9:30 PM
ARI,STL,3/18/2017,8:00 PM
COL,STL,3/21/2017,8:00 PM
STL,VAN,3/23/2017,7:00 PM
STL,CGY,3/25/2017,6:00 PM
STL,ARI,3/27/2017,7:00 PM
ARI,STL,3/29/2017,9:30 PM
COL,STL,3/31/2017,8:00 PM
STL,NSH,4/2/2017,5:00 PM
STL,WPG,4/4/2017,7:00 PM
FLA,STL,4/6/2017,6:30 PM
CAR,STL,4/8/2017,6:00 PM
STL,COL,4/9/2017,5:00 PM
