HOME,AWAY,DATE,TIME (CT)
WPG,CAR,10/13/2016,7:00 PM
MIN,WPG,10/15/2016,6:00 PM
WPG,BOS,10/17/2016,7:00 PM
WPG,TOR,10/19/2016,7:00 PM
WPG,EDM,10/23/2016,2:00 PM
DAL,WPG,10/25/2016,7:30 PM
WPG,DAL,10/27/2016,7:00 PM
COL,WPG,10/28/2016,8:00 PM
WPG,BUF,10/30/2016,2:00 PM
WPG,WSH,11/1/2016,7:00 PM
WSH,WPG,11/3/2016,6:00 PM
DET,WPG,11/4/2016,6:30 PM
NYR,WPG,11/6/2016,6:00 PM
WPG,DAL,11/8/2016,7:00 PM
ARI,WPG,11/10/2016,8:00 PM
COL,WPG,11/11/2016,8:00 PM
WPG,LAK,11/13/2016,2:00 PM
WPG,CHI,11/15/2016,7:00 PM
PHI,WPG,11/17/2016,6:00 PM
BOS,WPG,11/19/2016,6:00 PM
CAR,WPG,11/20/2016,4:00 PM
MIN,WPG,11/23/2016,6:00 PM
NSH,WPG,11/25/2016,5:00 PM
WPG,NSH,11/27/2016,5:00 PM
WPG,NJD,11/29/2016,7:00 PM
WPG,EDM,12/1/2016,7:00 PM
STL,WPG,12/3/2016,6:00 PM
CHI,WPG,12/4/2016,6:00 PM
WPG,DET,12/6/2016,7:00 PM
WPG,NYR,12/8/2016,7:00 PM
CGY,WPG,12/10/2016,9:00 PM
EDM,WPG,12/11/2016,8:30 PM
WPG,FLA,12/15/2016,7:00 PM
WPG,COL,12/18/2016,2:00 PM
VAN,WPG,12/20/2016,9:00 PM
VAN,WPG,12/22/2016,9:00 PM
CHI,WPG,12/27/2016,7:30 PM
WPG,CBJ,12/29/2016,7:00 PM
WPG,NYI,12/31/2016,6:00 PM
TBL,WPG,1/3/2017,6:30 PM
FLA,WPG,1/4/2017,6:00 PM
BUF,WPG,1/7/2017,0:00 PM
WPG,CGY,1/9/2017,7:00 PM
WPG,MON,1/11/2017,6:30 PM
ARI,WPG,1/13/2017,8:00 PM
LAK,WPG,1/14/2017,9:00 PM
SJS,WPG,1/16/2017,3:00 PM
WPG,ARI,1/18/2017,6:30 PM
WPG,STL,1/21/2017,2:00 PM
WPG,ANH,1/23/2017,7:00 PM
WPG,SJS,1/24/2017,7:00 PM
CHI,WPG,1/26/2017,7:30 PM
STL,WPG,1/31/2017,7:00 PM
DAL,WPG,2/2/2017,7:30 PM
COL,WPG,2/4/2017,2:00 PM
WPG,MIN,2/7/2017,7:00 PM
WPG,CHI,2/10/2017,7:00 PM
WPG,TBL,2/11/2017,6:00 PM
WPG,DAL,2/14/2017,7:00 PM
PIT,WPG,2/16/2017,6:00 PM
MON,WPG,2/18/2017,1:00 PM
OTT,WPG,2/19/2017,4:00 PM
TOR,WPG,2/21/2017,6:30 PM
WPG,MIN,2/28/2017,7:00 PM
WPG,STL,3/3/2017,7:00 PM
WPG,COL,3/4/2017,6:00 PM
WPG,SJS,3/6/2017,7:00 PM
WPG,PIT,3/8/2017,7:00 PM
WPG,CGY,3/11/2017,6:00 PM
NSH,WPG,3/13/2017,7:00 PM
NJD,WPG,3/14/2017,6:00 PM
NYI,WPG,3/16/2017,6:00 PM
WPG,MIN,3/19/2017,4:00 PM
WPG,PHI,3/21/2017,7:00 PM
LAK,WPG,3/23/2017,9:30 PM
ANH,WPG,3/24/2017,9:00 PM
WPG,VAN,3/26/2017,7:00 PM
WPG,ANH,3/30/2017,7:00 PM
WPG,OTT,4/1/2017,6:00 PM
STL,WPG,4/4/2017,7:00 PM
CBJ,WPG,4/6/2017,6:00 PM
WPG,NSH,4/8/2017,6:00 PM
