HOME,AWAY,DATE,TIME (ET)
PIT,WSH,10/13/2016,7:00 PM
WSH,NYI,10/15/2016,7:00 PM
WSH,COL,10/18/2016,7:00 PM
FLA,WSH,10/20/2016,7:30 PM
WSH,NYR,10/22/2016,7:00 PM
EDM,WSH,10/26/2016,9:30 PM
VAN,WSH,10/29/2016,10:00 PM
CGY,WSH,10/30/2016,9:30 PM
WPG,WSH,11/1/2016,8:00 PM
WSH,WPG,11/3/2016,7:00 PM
WSH,FLA,11/5/2016,7:00 PM
WSH,SJS,11/8/2016,7:00 PM
CHI,WSH,11/11/2016,8:30 PM
CAR,WSH,11/12/2016,7:00 PM
CBJ,WSH,11/15/2016,7:00 PM
WSH,PIT,11/16/2016,8:00 PM
WSH,DET,11/18/2016,7:00 PM
WSH,CBJ,11/20/2016,0:30 PM
WSH,STL,11/23/2016,7:00 PM
WSH,BUF,11/25/2016,5:00 PM
TOR,WSH,11/26/2016,7:00 PM
WSH,NYI,12/1/2016,7:00 PM
TBL,WSH,12/3/2016,7:00 PM
WSH,BUF,12/5/2016,7:00 PM
WSH,BOS,12/7/2016,8:00 PM
BUF,WSH,12/9/2016,7:00 PM
WSH,VAN,12/11/2016,5:00 PM
NYI,WSH,12/13/2016,7:00 PM
CAR,WSH,12/16/2016,7:30 PM
WSH,MON,12/17/2016,7:00 PM
PHI,WSH,12/21/2016,8:00 PM
WSH,TBL,12/23/2016,7:00 PM
NYI,WSH,12/27/2016,7:00 PM
WSH,NJD,12/29/2016,7:00 PM
NJD,WSH,12/31/2016,1:00 PM
WSH,OTT,1/1/2017,7:30 PM
WSH,TOR,1/3/2017,7:00 PM
WSH,CBJ,1/5/2017,7:00 PM
OTT,WSH,1/7/2017,7:00 PM
MON,WSH,1/9/2017,7:30 PM
WSH,PIT,1/11/2017,8:00 PM
WSH,CHI,1/13/2017,7:00 PM
WSH,PHI,1/15/2017,0:30 PM
PIT,WSH,1/16/2017,7:00 PM
STL,WSH,1/19/2017,8:00 PM
DAL,WSH,1/21/2017,8:00 PM
WSH,CAR,1/23/2017,7:00 PM
OTT,WSH,1/24/2017,7:30 PM
NJD,WSH,1/26/2017,7:00 PM
NYI,WSH,1/31/2017,7:00 PM
WSH,BOS,2/1/2017,8:00 PM
MON,WSH,2/4/2017,1:00 PM
WSH,LAK,2/5/2017,0:00 PM
WSH,CAR,2/7/2017,7:00 PM
WSH,DET,2/9/2017,7:00 PM
WSH,ANH,2/11/2017,7:00 PM
DET,WSH,2/18/2017,2:00 PM
NYR,WSH,2/19/2017,0:30 PM
PHI,WSH,2/22/2017,8:00 PM
WSH,EDM,2/24/2017,7:00 PM
NSH,WSH,2/25/2017,5:00 PM
NYR,WSH,2/28/2017,7:00 PM
WSH,NJD,3/2/2017,7:00 PM
WSH,PHI,3/4/2017,7:00 PM
WSH,DAL,3/6/2017,7:00 PM
SJS,WSH,3/9/2017,10:30 PM
LAK,WSH,3/11/2017,10:30 PM
ANH,WSH,3/12/2017,9:30 PM
WSH,MIN,3/14/2017,7:00 PM
WSH,NSH,3/16/2017,7:00 PM
TBL,WSH,3/18/2017,7:00 PM
WSH,CGY,3/21/2017,7:00 PM
WSH,CBJ,3/23/2017,7:00 PM
WSH,ARI,3/25/2017,7:00 PM
MIN,WSH,3/28/2017,8:00 PM
COL,WSH,3/29/2017,10:00 PM
ARI,WSH,3/31/2017,10:00 PM
CBJ,WSH,4/2/2017,6:00 PM
TOR,WSH,4/4/2017,7:30 PM
WSH,NYR,4/5/2017,8:00 PM
BOS,WSH,4/8/2017,3:00 PM
WSH,FLA,4/9/2017,7:00 PM
